"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,0,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107639729265,5842107640954690,5842107641064931,5842107641134732,110241
1,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,2,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107661917498,5842107661936940,5842107662016781,5842107662017932,79841
2,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,4,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662042901,5842107662054861,5842107662153902,5842107662154827,99041
3,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,6,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662176789,5842107662188622,5842107662269423,5842107662270280,80801
4,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,8,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662295208,5842107662307663,5842107662406544,5842107662407355,98881
5,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,10,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662427965,5842107662438225,5842107662537905,5842107662538949,99680
6,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,12,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662562866,5842107662575186,5842107662675186,5842107662676325,100000
7,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,14,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662702275,5842107662714707,5842107662815188,5842107662816065,100481
8,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,16,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662839651,5842107662852628,5842107662932789,5842107662933792,80161
9,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,18,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107662957228,5842107662970229,5842107663069750,5842107663070767,99521
10,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,20,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663092549,5842107663101110,5842107663181271,5842107663181642,80161
11,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,22,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663196410,5842107663205271,5842107663303512,5842107663303988,98241
12,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,24,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663318917,5842107663327672,5842107663406872,5842107663407248,79200
13,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,26,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663420904,5842107663426873,5842107663524473,5842107663524915,97600
14,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,28,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663539964,5842107663548474,5842107663647354,5842107663647762,98880
15,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,30,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663661038,5842107663667195,5842107663748635,5842107663749529,81440
16,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,32,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663762735,5842107663768955,5842107663867036,5842107663867357,98081
17,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,34,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107663880943,5842107663886876,5842107663985437,5842107663985766,98561
