"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",539,849199424,1575509,92.34919563502422
"hsa_queue_create",2,28983538,14491769,3.151917376897748
"hsa_agent_get_info",73,28296268,387620,3.077177769344643
"hsa_signal_store_screlease",1000,4331517,4331,0.4710461400753767
"hsa_amd_memory_pool_allocate",9,3429537,381059,0.3729571339777005
"hsa_amd_memory_lock_to_pool",5,2355012,471002,0.2561041114305203
"hsa_amd_memory_unlock",5,499365,99873,0.05430521356345606
"hsa_system_get_info",5004,401363,80,0.04364763936493229
"hsa_amd_agents_allow_access",7,388862,55551,0.042288173894271024
"hsa_executable_load_agent_code_object",2,372069,186034,0.04046195969950143
"hsa_amd_memory_async_copy",5,370115,74023,0.04024946505669908
"hsa_signal_load_relaxed",2536,203781,80,0.022160885775283887
"hsa_executable_freeze",2,145601,72800,0.015833895847832277
"hsa_queue_add_write_index_screlease",1000,83976,83,0.009132267207763431
"hsa_queue_load_read_index_scacquire",1000,78652,78,0.00855328999267659
"hsa_queue_load_read_index_relaxed",1000,70591,70,0.0076766680297135894
"hsa_iterate_agents",2,66407,33203,0.007221664147684412
"hsa_signal_create",74,53776,726,0.0058480613671130595
"hsa_signal_silent_store_relaxed",505,48744,96,0.005300838725055024
"hsa_code_object_reader_create_from_memory",2,45156,22578,0.004910648971536695
"hsa_amd_agent_iterate_memory_pools",15,34736,2315,0.0037774892079745466
"hsa_isa_get_info_alt",2,29257,14628,0.003181655969533375
"hsa_system_get_major_extension_table",3,26491,8830,0.0028808575140618874
"hsa_amd_memory_pool_get_info",58,11974,206,0.0013021549912565415
"hsa_executable_create_alt",2,11583,5791,0.0012596343129885185
"hsa_agent_iterate_isas",1,4839,4839,0.0005262341742684486
"hsa_executable_get_symbol_by_name",16,4310,269,0.0004687061977881822
"hsa_amd_agent_memory_pool_get_info",11,3355,305,0.0003648513442179469
"hsa_executable_symbol_get_info",33,2015,61,0.00021912830360630792
"hsa_amd_profiling_set_profiler_enabled",2,280,140,3.0449590575566362e-05
"hsa_dispatch",500,0,0,0.0
